cle;Respondent_ID;weight;A11;A12;A13;A14;A4;A5;A5bis;A8_1_slice;A8_2_slice;A8_3_slice;A8_4_slice;B1_1_slice;B1_2_slice;B2_1_slice;B2_2_slice;B3;B4;B6;C1_1_slice;C1_2_slice;C1_3_slice;C1_4_slice;C1_5_slice;C1_6_slice;C1_7_slice;C1_8_slice;C1_9_slice;A9_1_slice;A9_2_slice;A9_3_slice;A9_4_slice;A9_5_slice;A9_6_slice;A9_7_slice;A9_8_slice;A9_9_slice;A9_10_slice;A9_11_slice;A9_12_slice;A9_13_slice;A9_14_slice;A9_15_slice;A9_16_slice;A10_1_slice;A10_2_slice;A10_3_slice;A10_4_slice;A10_5_slice;A10_6_slice;A10_7_slice;A10_8_slice;A11_1_slice;A11_2_slice;A11_3_slice;A11_4_slice;A11_5_slice;A11_6_slice;A11_7_slice;A11_8_slice;A11_9_slice;A11_10_slice;A11_11_slice;A11_12_slice;A11_13_slice;A1bis;A2;A6_1_slice;A6_2_slice;A6_3_slice;A6_4_slice;A6_5_slice;A6_6_slice;A7;B5_1_slice;B5_2_slice;B5_3_slice;B5_4_slice;B5_5_slice;B5_6_slice;C201;C202;C203;C204;C205;C206;C207;C208;C209;C210;C211;C212;C213;C214;C215;C216;C217;C218;C219;C220;C301;C302;C303;C304;C305;C306;C307;C308;C309;C310;C311;C4_1_slice;C4_2_slice;C4_3_slice;C4_4_slice;rs3;rs5;rs6;RS1;RS191;RS192;RS193;RS102RECAP;rs11recap2;RS11recap;RS193bis;RS2Recap;RS56Recap;RS2;RS11;RS102
31;MET20_1746209;0.8247615439;1;0;1;0;1;1;;3;2;2;1;4;4;3;3;4;3;4;5;5;5;5;5;5;5;5;5;2;3;3;3;4;3;2;3;2;2;1;4;4;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;70;3;2;1;20;4;2;2;4;4;4;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;7;7;7;1;3;;2;1;2;2;1;1;2;;6;3;76;0;1
32;MET20_1030357;1.2999282972;1;0;1;0;3;;2;2;3;2;0;3;3;3;3;2;4;2;4;5;4;4;4;4;4;4;4;2;2;3;2;3;2;3;2;2;3;2;3;2;1;2;3;2;2;3;2;2;3;2;2;3;2;2;3;1;3;3;3;3;2;2;2;3;3;1;0;0;0;0;;100;1;3;4;3;3;4;4;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;7;5;7;7;1;7;;2;1;2;2;2;1;2;;4;3;54;0;2
33;MET20_1223119;0.8247615439;1;0;0;0;1;2;;4;2;2;0;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;4;2;4;3;3;3;1;2;3;1;3;2;4;4;2;3;4;3;1;2;2;3;1;2;2;3;3;3;3;2;3;3;3;3;3;4;3;2;1;1;100;0;0;0;0;0;6;3;4;4;4;4;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;7;7;7;1;3;;2;1;2;1;2;1;2;1;6;3;78;0;2
34;MET20_594952;1.0396114026;1;0;1;0;3;;2;7;7;5;3;4;4;3;3;3;3;4;5;4;5;5;5;5;5;5;5;2;2;2;2;4;1;2;2;2;2;2;3;3;1;2;2;2;1;2;2;2;3;1;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;1;0;0;0;0;;100;2;3;3;4;4;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;6;7;7;1;2;10;2;1;2;2;3;2;1;;3;2;36;1;3
35;MET20_7005991;0.8422381464;1;0;0;0;1;5;;10;20;10;5;1;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;20;20;20;15;5;20;10;2;2;2;2;2;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;5;4;4;1;1;9;2;1;2;2;4;3;1;;4;2;47;2;4
36;MET20_7003129;1.1435070883;1;0;1;0;1;5;;5;5;1;0;3;3;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;3;3;3;3;1;1;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;80;20;0;0;0;0;6;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;2;1;9;1;1;2;2;3;2;1;;3;2;40;1;3
37;MET20_7001659;0.9643085747;1;0;1;0;1;4;;5;1;5;1;4;4;4;4;3;4;4;5;5;5;5;5;5;5;5;5;3;4;4;4;2;2;3;3;3;4;3;4;4;4;3;3;2;2;4;3;2;3;3;4;2;3;3;3;3;2;3;3;3;3;3;3;3;1;1;60;5;5;15;15;0;80;3;4;4;4;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;1;1;2;1;2;1;2;2;6;3;70;0;2
38;MET20_80000491;0.6947629021;1;0;0;0;1;4;;10;10;2;1;3;3;4;3;3;4;2;3;4;3;4;5;5;3;4;4;2;3;2;2;3;2;2;2;2;2;1;2;2;2;2;2;2;2;3;2;2;3;2;2;1;2;1;1;2;1;2;2;2;2;2;2;2;1;1;75;5;5;5;10;0;8;2;4;3;4;4;4;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;7;3;7;7;1;1;8;2;1;2;2;4;2;1;;3;1;43;1;5
39;MET20_1859994;0.4424340921;1;0;0;0;1;2;;3;2;2;1;4;4;3;3;2;1;4;4;5;5;5;5;5;5;4;5;2;3;3;1;2;3;1;2;1;2;2;3;2;1;3;2;1;2;3;2;2;4;2;2;1;2;2;1;1;1;1;1;3;1;2;2;2;1;1;0;20;20;20;20;20;12;2;4;4;4;4;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;3;7;7;7;1;1;4;2;1;2;2;3;1;2;;5;1;63;0;3
40;MET20_1172381;0.598301777;1;0;0;0;1;2;;1;5;2;0;3;3;4;3;3;4;3;4;4;5;5;4;5;4;4;5;3;3;3;3;2;1;4;3;2;3;2;3;2;1;3;2;1;2;3;1;1;3;3;4;1;1;2;1;1;1;1;1;1;1;1;2;4;1;2;75;0;10;10;5;0;10;2;4;3;2;3;2;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;5;5;1;4;1;1;4;2;2;2;1;4;3;1;1;4;1;50;2;5
